,店內開盒遊戲列表,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
中文名稱,注音索引,英文名稱,語言版本,遊戲人數,放置櫃位,BGG玩家評分,BGG建議最佳人數,BGG遊戲時間(分鐘),BGG遊戲難度,BGG連結,所有人,店內熱門,定價,分類,標籤1,標籤2,標籤3
瘋王城堡,ㄈ,Castles of Mad King Ludwig,英,1-4,B2,7.7,4,90,2.67,https://boardgamegeek.com/boardgame/155426/castles-mad-king-ludwig,烏嘎嘎,,,策略,中策,板塊拼放,競標
雲霄年代,ㄩ,CloudAge,中,1-4,C2,7.8,3,60-100,2.81,https://boardgamegeek.com/boardgame/316858/cloudage,烏嘎嘎,,,策略,中策,,
泰山,ㄊ,Mountain Tai,中,1-4,C2,7.2,4,60-100,3,https://boardgamegeek.com/boardgame/303120/mount-tai,烏嘎嘎,,,策略,中策,,
香港大停電,ㄒ,Blackout: Hong Kong,中,1-4,C2,7.5,3,75-150,3.48,https://boardgamegeek.com/boardgame/262215/blackout-hong-kong,烏嘎嘎,,,策略,重策,,
黑天使號,ㄏ,Black Angel,中,1-4,C2,7.3,3,60-120,3.85,https://boardgamegeek.com/boardgame/230244/black-angel,烏嘎嘎,,,策略,,,
馬拉開波,ㄇ,Maracaibo,中,1-4,C2,8.2,3,30-120,3.89,https://boardgamegeek.com/boardgame/276025/maracaibo,烏嘎嘎,,,策略,,,
倫敦商會,ㄌ,Guilds of London,中,1-4,C3,7,4,45-90,3.05,https://boardgamegeek.com/boardgame/134157/guilds-london,烏嘎嘎,,,策略,,,
牛頓,ㄋ,Newton,中,1-4,C3,7.6,3,90,3.4,https://boardgamegeek.com/boardgame/244711/newton,烏嘎嘎,,,策略,,,
猛犬嗷嗷,ㄇ,Beware of the Dog,日,1-4,C5,5.1,N/A,15,1,https://boardgamegeek.com/boardgame/34938/beware-dog,烏嘎嘎,,990,兒童,操作,,
血腥旅社,ㄒ,The Bloody Inn,英,1-4,D1,7,4,30-60,2.39,https://boardgamegeek.com/boardgame/180593/bloody-inn,凱豐,,,策略,輕策,卡牌combo,
XCOM: The Board Game,X,XCOM: The Board Game,英,1-4,D1,7,4,60-120,2.9,https://boardgamegeek.com/boardgame/163602/xcom-board-game,巴仔,,,策略,,,
花舍物語,ㄏ,Cottage Garden,英,1-4,D2,7.1,3,45-60,1.85,https://boardgamegeek.com/boardgame/204027/cottage-garden,烏嘎嘎,,,策略,抽象,板塊拼放,
暖秋物語,ㄋ,Indian Summer,中,1-4,D2,6.9,3,15-60,2.28,https://boardgamegeek.com/boardgame/233678/indian-summer,烏嘎嘎,,,策略,抽象,板塊拼放,
玻璃之路,ㄅ,Glass Road,英,1-4,D2,7.5,2,20-80,2.97,https://boardgamegeek.com/boardgame/143693/glass-road,烏嘎嘎,,,策略,,,
哈勒陶農場,ㄏ,Hallertau,中,1-4,D2,8.1,2,50-140,3.31,https://boardgamegeek.com/boardgame/300322/hallertau,烏嘎嘎,,,策略,,,
奧丁的盛宴,ㄠ,A Feast for Odin,中,1-4,D2,8.2,N/A,30-120,3.88,https://boardgamegeek.com/boardgame/177736/feast-odin,烏嘎嘎,,,策略,,,
奧丁的盛宴：挪威傳奇擴充,ㄠ,A Feast for Odin: The Norwegians,中,1-4,D2,9,2,30-120,4.04,https://boardgamegeek.com/boardgame/216788/feast-odin-norwegians,烏嘎嘎,,,策略,,,
富途共樂,ㄈ,Futuropia,中,1-4,D3,6.4,3,90,2.63,https://boardgamegeek.com/boardgame/258389/futuropia,烏嘎嘎,,,策略,,,
太極,ㄊ,Yin Yang,中,1-4,D3,7.4,N/A,45-75,2.75,https://boardgamegeek.com/boardgame/280575/yin-yang,烏嘎嘎,,,策略,,,
遠征紐戴爾,ㄩ,Expedition to Newdale,英,1-4,D3,7.5,3-4,90,3,https://boardgamegeek.com/boardgame/272682/expedition-newdale,烏嘎嘎,,,策略,,,
埃馬拉之冠,ㄞ,Crown of Emara,英,1-4,D3,7.4,3,45-75,3.1,https://boardgamegeek.com/boardgame/256570/crown-emara,烏嘎嘎,,,策略,,,
強國爭壩,ㄑ,Barrage,中,1-4,D3,8.2,4,60-120,4.06,https://boardgamegeek.com/boardgame/251247/barrage,烏嘎嘎,,,策略,,,
強國爭壩：利格沃特計劃擴充,ㄑ,Barrage: The Leeghwater Project,中,1-4,D3,8.3,4,60-120,4.11,https://boardgamegeek.com/boardgame/263711/barrage-leeghwater-project,烏嘎嘎,,,策略,,,
蓋亞計畫,ㄍ,Gaia Project,中,1-4,D3,8.7,3-4,60-150,4.3,https://boardgamegeek.com/boardgame/220308/gaia-project/videos/all,烏嘎嘎,,,策略,,,
方塊方程式,ㄈ,BITS,英,1-4,D5,6.5,2-4,30-45,1.46,https://boardgamegeek.com/boardgame/89668/bits,烏嘎嘎,,,抽象,幾何,,
烏邦果：三角挑戰,ㄨ,Ubongo Trigo,英,1-4,D5,6.4,3-4,20,1.5,https://boardgamegeek.com/boardgame/118553/ubongo-trigo,烏嘎嘎,,,抽象,板塊拼放,,
烏邦果,ㄨ,Ubongo,中,1-4,D5,6.7,4,25,1.55,https://boardgamegeek.com/boardgame/16986/ubongo,烏嘎嘎,,,抽象,板塊拼放,,
烏邦果：極限挑戰,ㄨ,Ubongo Extrem: Mitbringspiel,英,1-4,D5,6.1,4,15-30,1.64,https://boardgamegeek.com/boardgame/41291/ubongo-extrem-mitbringspiel,烏嘎嘎,,,抽象,板塊拼放,,
智謀棋,ㄓ,Ingenious,中,1-4,D5,7.2,2,45,1.93,https://boardgamegeek.com/boardgame/9674/ingenious,烏嘎嘎,,,抽象,牌類,,
國民經濟,ㄍ,National Economy,中,1-4,E1,7,4,30-45,2.5,https://boardgamegeek.com/boardgame/219122/national-economy,烏嘎嘎,,,策略,,,
敦煌：絲路,ㄉ,Dunhuang: Pearl on the Silk Road,中,1-4,E1,6.8,4,40-120,3.33,https://boardgamegeek.com/boardgame/303540/dunhuang-pearl-silk-road,烏嘎嘎,,,策略,,,
築夢計畫,ㄓ,Project Dreamscape,中,1-4,E2,6.6,2,30,1.67,https://boardgamegeek.com/boardgame/168232/project-dreamscape,烏嘎嘎,,,小品,,,
晝夜星,ㄓ,Solenia,中,1-4,E3,7.1,3,30-45,2.17,https://boardgamegeek.com/boardgame/254018/solenia,烏嘎嘎,,,策略,,,
