300 | 15721 | 瘋狂建築師 | 793
301 | 232405 | 西部傳奇 | 1671
302 | 262711 | 和諧羅馬：維納斯 | 838
303 | 2651 | 電力公司 | 356
304 | 215311 | 玩命賽道 | 1931
305 | 326582 | 精靈的惡作劇 | 746
306 | 191895 | 大頭娃娃 | 862
307 | 32968 | 鯊魚警報 | 206
308 | 304285 | 情書-無限手套 | 838
309 | 206616 | 雙面間諜 | 628
310 | 5 | 套利 | 1581
311 | 180020 | 病毒在跳舞 | 755
312 | 274960 | 得分沙拉 | 1526
313 | 179245 | 賭命大賽 | 625
314 | 1234 | 從前從前 | 897
315 | 56692 | 仙境夢遊 | 1570
316 | 206169 | 開心滑水梯樂園 | 745
317 | 24509 | 陰謀大亂鬥 | 642
318 | 268275 | 夜市人參 | 714
319 | 14035 | 食人魚與派德羅 | 720
320 | 54138 | 霸業2030 | 2205
321 | 559 | 地下鐵 | 882
322 | 192927 | 驚魂星期五 | 387
323 | 28023 | 牙買加 | 1733
324 | 131357 | 政變 | 1531
325 | 205507 | 城市之鑰：倫敦 | 703
326 | 153507 | 寰宇地球 | 939
327 | 203780 | 電力公司紙牌版 | 752
328 | 3194 | 星球加法 | 583
329 | 181694 | 茶丸子 | 728
330 | 2944 | 德國心臟病 | 367
331 | 4209 | 小小賽車手 | 625
332 | 218639 | 洞洞打寶 | 237
333 | 117995 | 嗒寶小子 | 820
334 | 193592 | 誰是放屁王 | 639
335 | 245700 | 蟲蟲派對 | 834
336 | 198775 | 水啦！ | 784
337 | 39206 | 伐木達人 | 520
338 | 193679 | 從前從前：動物王國 | 730
339 | 289018 | 裝龍作啞 | 936
340 | 178900 | 機密代號 | 1719
341 | 197760 | 閃靈快手：魔法帽 | 264
342 | 171131 | 深海諜影 | 2011
343 | 234452 | 猜心俱樂部 | 771
344 | 246297 | 暗影行動：阿姆斯特丹 | 702
345 | 198773 | 機密代號圖片版 | 1607
346 | 289916 | 小短手的星期天 | 699
347 | 32405 | 滿腦子番茄! | 743
348 | 171037 | 火線急救室 | 674
349 | 204734 | 籤籤入扣 | 823
